Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
98,Amorim,br BRA,MF,Genoa,it Serie A,20.0,2005,0.0,,0,,,,,,,,,,0,,,,Matches
99,Mathis Amougou,fr FRA,MF,Strasbourg,fr Ligue 1,20.0,2006,3.0,,5,,,,,,,,,,1,,,,Matches
100,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,de Bundesliga,25.0,2000,14.3,,16,,,,,,,,,,5,,,,Matches
101,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25.0,2000,22.7,,31,,,,,,,,,,34,,,,Matches
102,Sofyan Amrabat,ma MAR,MF,Real Betis,es La Liga,29.0,1996,6.7,,6,,,,,,,,,,6,,,,Matches
103,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29.0,1996,24.5,,18,,,,,,,,,,23,,,,Matches
104,Elliot Anderson,eng ENG,MF,Nottingham Forest,eng Premier League,23.0,2002,26.0,,45,,,,,,,,,,30,,,,Matches
105,Tomoya Ando,jp JPN,DF,St Pauli,de Bundesliga,27.0,1999,4.3,,5,,,,,,,,,,4,,,,Matches
106,Nícolas Andrade,br BRA,GK,Pisa,it Serie A,37.0,1988,1.0,,0,,,,,,,,,,0,,,,Matches
107,André,br BRA,MF,Wolves,eng Premier League,24.0,2001,18.7,,25,,,,,,,,,,14,,,,Matches
108,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,35.0,1990,16.9,,22,,,,,,,,,,17,,,,Matches
109,Robert Andrich,de GER,"DF,MF",Leverkusen,de Bundesliga,31.0,1994,16.7,,20,,,,,,,,,,19,,,,Matches
110,Miguel Ángel Rubio,es ESP,DF,Espanyol,es La Liga,27.0,1998,1.7,,0,,,,,,,,,,0,,,,Matches
111,Miguel Ángel Sierra,es ESP,FW,Sevilla,es La Liga,21.0,2004,0.7,,1,,,,,,,,,,0,,,,Matches
112,Angeliño,es ESP,MF,Roma,it Serie A,29.0,1997,4.3,,6,,,,,,,,,,3,,,,Matches
113,Samuele Angori,it ITA,MF,Pisa,it Serie A,22.0,2003,16.9,,15,,,,,,,,,,13,,,,Matches
114,Nilson Angulo,ec ECU,MF,Sunderland,eng Premier League,22.0,2003,0.9,,1,,,,,,,,,,1,,,,Matches
115,Faustino Anjorin,eng ENG,MF,Torino,it Serie A,24.0,2001,2.7,,4,,,,,,,,,,6,,,,Matches
116,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,21.0,2004,15.9,,4,,,,,,,,,,3,,,,Matches
117,Aaron Anselmino,ar ARG,DF,Strasbourg,fr Ligue 1,20.0,2005,0.0,,0,,,,,,,,,,0,,,,Matches
118,Aaron Anselmino,ar ARG,DF,Dortmund,de Bundesliga,20.0,2005,4.1,,8,,,,,,,,,,7,,,,Matches
119,Jaidon Anthony,eng ENG,MF,Burnley,eng Premier League,26.0,1999,18.6,,13,,,,,,,,,,10,,,,Matches
120,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,29.0,1996,20.0,,19,,,,,,,,,,17,,,,Matches
121,Kyllian Antonio,fr FRA,DF,Lens,fr Ligue 1,18.0,2008,1.3,,3,,,,,,,,,,5,,,,Matches
122,Antoniu,es ESP,MF,Espanyol,es La Liga,23.0,2002,1.3,,1,,,,,,,,,,0,,,,Matches
123,Antony,br BRA,"MF,FW",Real Betis,es La Liga,25.0,2000,17.6,,14,,,,,,,,,,16,,,,Matches
124,Youssef El-Arabi,ma MAR,FW,Nantes,fr Ligue 1,39.0,1987,8.5,,5,,,,,,,,,,4,,,,Matches
